Location;Driving;Sports;Music;Party;Markets;Events;Shopping;Nature;Sophistication;Water;Adventure;Relaxation;Surfing;Animals;Skydiving;Kayaking;Food&Drink;Nightlife;Fun;Biking;Outlook;Art;Wintersports;Hiking;Culture;Tours;Diving;Sightseeing
Berlin;;3.9792795875430875;2.02255538573508;;3.7396054687499998;1.8666666666666667;3.661151278784099;4.096420826182643;3.8267026771753967;3.9276179199218753;;3.627486842105263;;3.7022981941001567;;;4.119405063291139;2.5532959064327483;2.7561421975992615;;3.793779049295775;3.8273449838944313;;3.6877470662301275;3.8451264205632603;;;3.7322377435083043
Rhodes;2.2698;3.333149047619048;;1.193391;;;;3.424940731926047;3.7410164228870566;3.9036421231024656;;3.9629242945165366;;2.117098143236074;;;2.4136435897435895;1.6986666666666665;2.4376465751609304;;3.9105439052999706;3.900477805463719;;1.2351495000000003;4.025381204607786;;;3.9997734582144204
Athens;;3.5860790105469027;1.7987437500000003;;3.6984960099816733;1.7987437500000003;3.6734326083334197;4.1113384817925205;4.188976306209542;3.9477960267075316;;3.640449840036563;;;;;3.2335227272727276;1.52734375;3.4282175817757006;1.32;3.5712750656742553;4.192993848056263;;4.25830117211775;4.077960184721593;;;3.9576838148550104
Dublin;;4.482497893673504;;;2.9794419431279615;1.5;3.408708394428153;3.9605604685798665;4.1471802588557996;3.6556303140862942;;3.648463734567901;;1.3284150000000001;;;3.9250625;4.026660000000001;4.059711778846154;2.5185735294117646;3.5962736486486486;4.113729969995911;1.8666666666666667;2.2878018355673024;4.10084952912523;;;3.870725576780718
Rome;1.847283203125;3.616102881619937;4.250383211678832;2.7449237132352935;3.4096216623994153;3.091875;3.5430383433985835;3.762043586270908;3.9532834319014616;3.3237193107057417;1.6102619660823405;2.4652687499999995;;3.234629659943469;;;3.645027899824254;1.2222;3.0384044071278278;2.3115454545454543;3.243750560772952;3.964857546321169;;4.07137925442832;3.967483095230087;;;3.917646613855467
Cork;;3.2497803468208097;;;3.827813623025612;;4.204492569733008;4.241526555237076;3.8266410044150114;2.3280000000000003;;1.0277333333333334;;;;;1.946762019230769;1.8341222222222222;3.527;;1.4773666666666665;3.883956986143187;;4.302409447674418;4.139466606695055;;;4.041554262192001
Lisbon;;4.039077201149371;4.308671875;;3.1598451374093917;;3.1477874186550974;3.5522733425688835;3.6213368012317906;2.0053333333333336;;2.0053333333333336;;4.334215443609371;;;4.230788888888889;2.005333333333333;3.7422451470740676;;3.816184786473021;3.6221168488817885;;1.7281837417571038;4.022098755396247;;;4.00880570032735
Paris;2.3280000000000003;4.1532406304159455;4.220806977004668;;4.047425095419848;3.045220108695653;4.043859169083314;3.962518003613314;3.7638000996820846;2.936299112826724;;1.6986666666666665;;2.9832352468003145;;;3.2547341008771933;1.0404333333333333;3.2255067446043166;;3.6322357148392412;3.7674751736244807;;4.173421445778356;3.888404036236821;;;3.8386258890535525
London;;3.8600303310114645;3.702977501255904;;3.9156320343844238;3.952348351226994;3.8799272679218606;3.9642571155178676;4.138442709686941;4.085054988781851;;3.1887617187499995;;3.6611715433314043;;;3.5933392857142863;3.871167074548193;3.7918146360680707;1.2513;3.6298243041380918;4.143937714252992;;4.2672391310684565;4.0881718423698805;;;3.90668044830355
Warsaw;;3.3465000000000003;2.175225;;2.7787275943396224;;2.3388083333333336;3.9665597709804086;3.721846730339956;3.2687435897435897;;2.005333333333333;;2.005333333333333;;;1.4037333333333333;;1.4021636363636358;;3.584612903225806;3.564168999609688;1.6296000000000002;3.702495408444883;4.006008032380361;;;4.035196992374854
